timestamp,id_mercado,id_liga,momio_1,momio_2,momio_3,vig_pct,tendencia_1,tendencia_2,tendencia_3
2026-06-27T00:14:29.507197,882058544,31908583,1.68,3.2,4.8,11.61,INCR,INCR,INCR
2026-06-27T00:14:29.507246,882043742,31908190,1.181,4.333,21.0,12.51,DECR,DECR,INCR
2026-06-27T00:14:29.507273,882049625,31908321,1.133,6.0,20.0,9.93,DECR,DECR,INCR
2026-06-27T00:14:59.513489,882033592,31907951,1.285,4.6,8.4,11.46,DECR,INCR,DECR
2026-06-27T00:14:59.513544,882049625,31908321,1.083,7.0,29.0,10.07,INCR,INCR,DECR
2026-06-27T00:15:29.523600,882043742,31908190,1.166,4.5,23.0,12.33,INCR,INCR,DECR
2026-06-27T00:15:29.523664,884831180,31991082,1.2,5.0,11.0,12.42,INCR,DECR,DECR
2026-06-27T00:15:29.523702,882049625,31908321,1.071,7.4,34.0,9.83,INCR,INCR,DECR
2026-06-27T00:15:29.523731,882043835,31908201,1.363,4.4,6.0,12.76,INCR,DECR,INCR
2026-06-27T00:15:59.527624,882064379,31908715,1.142,6.0,17.0,10.11,INCR,INCR,DECR
2026-06-27T00:15:59.527686,882064519,31908718,2.0,2.65,4.2,11.55,INCR,INCR,DECR
2026-06-27T00:15:59.527725,882058544,31908583,1.666,3.1,5.0,12.28,DECR,INCR,DECR
2026-06-27T00:15:59.527758,882043835,31908201,1.363,4.4,6.0,12.76,DECR,INCR,DECR
2026-06-27T00:16:29.530970,882043742,31908190,1.153,4.6,26.0,12.32,INCR,INCR,DECR
2026-06-27T00:16:29.531036,882043835,31908201,1.333,4.75,6.4,11.7,INCR,DECR,INCR
2026-06-27T00:16:29.531082,882064519,31908718,1.95,2.7,4.2,12.13,DECR,DECR,INCR
2026-06-27T00:16:29.531117,882064379,31908715,1.153,5.8,15.0,10.64,DECR,DECR,INCR
2026-06-27T00:16:29.531151,882049625,31908321,1.083,7.0,31.0,9.85,DECR,INCR,INCR
2026-06-27T00:16:59.534619,882043835,31908201,1.3,4.8,6.5,13.14,INCR,INCR,DECR
2026-06-27T00:17:29.540618,882043742,31908190,1.142,4.75,29.0,12.07,INCR,DECR,INCR
2026-06-27T00:17:29.540823,882058544,31908583,1.75,3.0,4.6,12.22,DECR,DECR,INCR
2026-06-27T00:17:29.540860,882043835,31908201,1.333,5.2,5.5,12.43,DECR,DECR,INCR
2026-06-27T00:17:29.540890,882049625,31908321,1.071,7.2,34.0,10.2,INCR,INCR,DECR
2026-06-27T00:17:59.550249,882043742,31908190,1.125,5.0,34.0,11.83,INCR,DECR,INCR
2026-06-27T00:17:59.550377,882049625,31908321,1.083,7.0,31.0,9.85,DECR,DECR,INCR
2026-06-27T00:17:59.550452,884831180,31991082,1.222,4.8,11.0,11.76,DECR,DECR,INCR
2026-06-27T00:18:29.555069,882043835,31908201,1.3,5.4,5.75,12.83,DECR,DECR,DECR
2026-06-27T00:18:29.555132,882043742,31908190,1.133,4.8,31.0,12.32,DECR,INCR,DECR
2026-06-27T00:18:59.558359,882043835,31908201,1.285,5.6,6.0,12.34,INCR,DECR,DECR
2026-06-27T00:18:59.558421,882033592,31907951,1.25,4.5,9.2,13.09,DECR,INCR,DECR
2026-06-27T00:18:59.558457,882064379,31908715,1.181,5.75,14.0,9.21,DECR,INCR,INCR
2026-06-27T00:18:59.558486,882049625,31908321,1.071,7.2,34.0,10.2,INCR,INCR,DECR
2026-06-27T00:18:59.558515,882043742,31908190,1.111,5.2,34.0,12.18,INCR,DECR,INCR
